id_place,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,stars,reviews,district,lat,long
ChIJ41RbR-W3BZERtC40lE27kJI,https://www.google.com/maps/place/?q=place_id:ChIJ41RbR-W3BZERtC40lE27kJI,La 73,Restaurante,"Av. el Sol 175, Barranco 15063",(01) 2470780,+51 1 2470780,instagram.com,https://instagram.com/la73_barranco?utm_medium=copy_link,4.4,1741.0,Barranco,-12.1396613,-77.02321560000001
ChIJq6DzbfK3BZERzmnElUR7PUM,https://www.google.com/maps/place/?q=place_id:ChIJq6DzbfK3BZERzmnElUR7PUM,Pan Sal Aire,Restaurante,"Av. Almte. Miguel Grau 320, , Lima, Barranco 15063",951 118 993,+51 951 118 993,delivery.pansalaire.pe,https://delivery.pansalaire.pe/,4.6,2229.0,Barranco,-12.1482801,-77.0210874
ChIJQwRnc-23BZERpyhQvLJVMTQ,https://www.google.com/maps/place/?q=place_id:ChIJQwRnc-23BZERpyhQvLJVMTQ,Restaurante Javier,Restaurante peruano,"Bajada de Baños 408, Barranco 15063",984 799 808,+51 984 799 808,www.restaurantejavier.pe,https://www.restaurantejavier.pe/,4.3,6810.0,Barranco,-12.1498312,-77.0232278
ChIJbYWvNb63BZER3Mb9WXTrobo,https://www.google.com/maps/place/?q=place_id:ChIJbYWvNb63BZER3Mb9WXTrobo,Nuestro Bistro,Restaurante,"Jr. Colina 107, Barranco 15063",948 721 346,+51 948 721 346,www.instagram.com,https://www.instagram.com/nuestro_bistro/,4.9,122.0,Barranco,-12.1459809,-77.02204569999999
ChIJQWG-5e63BZERioL90gT0vZ8,https://www.google.com/maps/place/?q=place_id:ChIJQWG-5e63BZERioL90gT0vZ8,Cala Restaurante & Lounge,Restaurante,"Circuito de Playas, Barranco 15063",998 247 326,+51 998 247 326,,,4.4,8900.0,Barranco,-12.144648,-77.025753
ChIJ0wxpzfa3BZERgVbF9Qv3cGk,https://www.google.com/maps/place/?q=place_id:ChIJ0wxpzfa3BZERgVbF9Qv3cGk,Siete Restaurante,Restaurante,"Jirón Domeyer 260, Barranco 04",966 320 855,+51 966 320 855,7restaurante.mesa247.pe,https://7restaurante.mesa247.pe/,4.6,547.0,Barranco,-12.1477149,-77.0224911
ChIJ9w-dbfK3BZERpQ6Di3pRb5E,https://www.google.com/maps/place/?q=place_id:ChIJ9w-dbfK3BZERpQ6Di3pRb5E,Arlotia,Restaurante vasco,"Av. Almte. Miguel Grau 340, Barranco 15047",(01) 2562269,+51 1 2562269,www.facebook.com,https://www.facebook.com/restaurante.arlotia,4.5,460.0,Barranco,-12.1481917,-77.0211583
ChIJtVBP-e-3BZEREmoOQ84Hgkw,https://www.google.com/maps/place/?q=place_id:ChIJtVBP-e-3BZEREmoOQ84Hgkw,La Cuadra de Salvador - Steakhouse,Restaurante especializado en filetes,"Jirón Centenario 105, Barranco 15063",989 817 299,+51 989 817 299,www.lacuadradesalvador.com,http://www.lacuadradesalvador.com/,4.5,2337.0,Barranco,-12.14135,-77.0225018
ChIJUbuuDPC3BZEROQSOuFapNGY,https://www.google.com/maps/place/?q=place_id:ChIJUbuuDPC3BZEROQSOuFapNGY,El Rincón de Siempre,Parrilla,"Av. Nicolás de Piérola 215, Barranco 15063",992 413 587,+51 992 413 587,elrincondesiempre.pe,http://elrincondesiempre.pe/,4.7,1090.0,Barranco,-12.141335000000002,-77.02036249999999
ChIJ2TD8oO23BZER9tDC0cEFbp0,https://www.google.com/maps/place/?q=place_id:ChIJ2TD8oO23BZER9tDC0cEFbp0,La Posada Del Mirador,Pub restaurante,"C. la Ermita 104, Barranco 15063",(01) 2561796,+51 1 2561796,www.laposadadelmirador.com,http://www.laposadadelmirador.com/,4.1,2197.0,Barranco,-12.1495758,-77.0233933
ChIJb91md2e3BZERXWut9uUCALY,https://www.google.com/maps/place/?q=place_id:ChIJb91md2e3BZERXWut9uUCALY,RESTAURANTE NIJAN,Restaurante,"AV BOLOGNESI 341A, Felipe Pardo 183, Barranco 15047",(01) 3127853,+51 1 3127853,restaurantenijan.com,https://restaurantenijan.com/,4.3,268.0,Barranco,-12.147537699999999,-77.0201465
ChIJw__m5CO3BZERRB5UsEgEjaw,https://www.google.com/maps/place/?q=place_id:ChIJw__m5CO3BZERRB5UsEgEjaw,Lucca Restaurante,Restaurante italiano,"Jirón Cora 113, Barranco 15063",961 723 390,+51 961 723 390,beacons.ai,https://beacons.ai/luccapastafresca,4.6,153.0,Barranco,-12.1428006,-77.0184368
ChIJGR_e8O23BZERtIDRCkVeiTg,https://www.google.com/maps/place/?q=place_id:ChIJGR_e8O23BZERtIDRCkVeiTg,Isolina Taberna Peruana,Restaurante peruano,"Av. San Martín 101, Lima 15063",943 833 031,+51 943 833 031,isolina.pe,http://isolina.pe/,4.6,7162.0,Barranco,-12.147633599999999,-77.02232049999999
ChIJr0GICdu3BZERSQ7f2czPG-w,https://www.google.com/maps/place/?q=place_id:ChIJr0GICdu3BZERSQ7f2czPG-w,República del Pisco - Barranco,Restaurante,"Jiron Mariscal Jose Antonio de Sucre 315, Lima 15063",946 345 866,+51 946 345 866,www.republicadelpisco.com,https://www.republicadelpisco.com/#reserva,4.6,843.0,Barranco,-12.14834,-77.022808
ChIJRcXNTOy3BZER2j0ekgqszWM,https://www.google.com/maps/place/?q=place_id:ChIJRcXNTOy3BZER2j0ekgqszWM,Rustica,Restaurante,"CORREDOR, Malecón Corredor S/N, Barranco 15063",(01) 6807070,+51 1 6807070,www.rustica.com.pe,https://www.rustica.com.pe/contacto,4.3,10850.0,Barranco,-12.1489651,-77.02465629999999
ChIJNXJfuv23BZERutkcJVr32ZA,https://www.google.com/maps/place/?q=place_id:ChIJNXJfuv23BZERutkcJVr32ZA,El Fogón del Asador Parrillas & Cocina Rústica - BARRANCO,Restaurante,"Av. República de Panamá 6574, Barranco 15047",940 604 385,+51 940 604 385,wa.link,https://wa.link/6t7io7,4.3,694.0,Barranco,-12.1317071,-77.0182262
ChIJ1-DGBu63BZERkjRVEEq-8lw,https://www.google.com/maps/place/?q=place_id:ChIJ1-DGBu63BZERkjRVEEq-8lw,Canta Rana,Restaurante,"Genova 101, Barranco 15063",923 841 016,+51 923 841 016,,,4.3,2641.0,Barranco,-12.146801,-77.0222702
ChIJwSFYIS-3BZERp_i0aD6l0c0,https://www.google.com/maps/place/?q=place_id:ChIJwSFYIS-3BZERp_i0aD6l0c0,Awicha,Restaurante,"Jirón Domeyer 296, Barranco 15063",921 828 779,+51 921 828 779,www.awicharestaurante.com,https://www.awicharestaurante.com/,4.3,781.0,Barranco,-12.147979399999999,-77.0230085
ChIJ557rg-23BZER85daPRi8aHg,https://www.google.com/maps/place/?q=place_id:ChIJ557rg-23BZER85daPRi8aHg,El Tio Mario,Restaurante,"frente, Jr.Zepita 214, Barranco 15064",(01) 4770301,+51 1 4770301,anticucheriatiomario.com,https://anticucheriatiomario.com/,4.4,2872.0,Barranco,-12.1492775,-77.0223707
ChIJNw5-Cu23BZERI5bsUBb2l94,https://www.google.com/maps/place/?q=place_id:ChIJNw5-Cu23BZERI5bsUBb2l94,Acantilado de Barranco,Bar,"C. la Ermita 102, Barranco 15063",(01) 2472145,+51 1 2472145,acantilado-de-barranco.cluvi.pe,http://acantilado-de-barranco.cluvi.pe/,4.4,797.0,Barranco,-12.1495134,-77.02343549999999
ChIJvbOXPAa3BZERlNPtl7SJ7-4,https://www.google.com/maps/place/?q=place_id:ChIJvbOXPAa3BZERlNPtl7SJ7-4,Rue,Restaurante,"Jirón Domeyer 301, Barranco 15063",954 229 830,+51 954 229 830,,,4.4,419.0,Barranco,-12.148185,-77.0231462
